"id","created_at","updated_at","province_id","name"
"1",NULL,NULL,"2","Adams"
"2",NULL,NULL,"2","Bacarra"
"3",NULL,NULL,"2","Badoc"
"4",NULL,NULL,"2","Bangui"
"5",NULL,NULL,"2","City of Batac"
"6",NULL,NULL,"2","Burgos"
"7",NULL,NULL,"2","Carasi"
"8",NULL,NULL,"2","Currimao"
"9",NULL,NULL,"2","Dingras"
"10",NULL,NULL,"2","Dumalneg"
"11",NULL,NULL,"2","Banna"
"12",NULL,NULL,"2","City of Laoag (Capital)"
"13",NULL,NULL,"2","Marcos"
"14",NULL,NULL,"2","Nueva Era"
"15",NULL,NULL,"2","Pagudpud"
"16",NULL,NULL,"2","Paoay"
"17",NULL,NULL,"2","Pasuquin"
"18",NULL,NULL,"2","Piddig"
"19",NULL,NULL,"2","Pinili"
"20",NULL,NULL,"2","San Nicolas"
"21",NULL,NULL,"2","Sarrat"
"22",NULL,NULL,"2","Solsona"
"23",NULL,NULL,"2","Vintar"
"24",NULL,NULL,"3","Alilem"
"25",NULL,NULL,"3","Banayoyo"
"26",NULL,NULL,"3","Bantay"
"27",NULL,NULL,"3","Burgos"
"28",NULL,NULL,"3","Cabugao"
"29",NULL,NULL,"3","City of Candon"
"30",NULL,NULL,"3","Caoayan"
"31",NULL,NULL,"3","Cervantes"
"32",NULL,NULL,"3","Galimuyod"
"33",NULL,NULL,"3","Gregorio del Pilar"
"34",NULL,NULL,"3","Lidlidda"
"35",NULL,NULL,"3","Magsingal"
"36",NULL,NULL,"3","Nagbukel"
"37",NULL,NULL,"3","Narvacan"
"38",NULL,NULL,"3","Quirino"
"39",NULL,NULL,"3","Salcedo"
"40",NULL,NULL,"3","San Emilio"
"41",NULL,NULL,"3","San Esteban"
"42",NULL,NULL,"3","San Ildefonso"
"43",NULL,NULL,"3","San Juan"
"44",NULL,NULL,"3","San Vicente"
"45",NULL,NULL,"3","Santa"
"46",NULL,NULL,"3","Santa Catalina"
"47",NULL,NULL,"3","Santa Cruz"
"48",NULL,NULL,"3","Santa Lucia"
"49",NULL,NULL,"3","Santa Maria"
"50",NULL,NULL,"3","Santiago"
"51",NULL,NULL,"3","Santo Domingo"
"52",NULL,NULL,"3","Sigay"
"53",NULL,NULL,"3","Sinait"
"54",NULL,NULL,"3","Sugpon"
"55",NULL,NULL,"3","Suyo"
"56",NULL,NULL,"3","Tagudin"
"57",NULL,NULL,"3","City of Vigan (Capital)"
"58",NULL,NULL,"4","Agoo"
"59",NULL,NULL,"4","Aringay"
"60",NULL,NULL,"4","Bacnotan"
"61",NULL,NULL,"4","Bagulin"
"62",NULL,NULL,"4","Balaoan"
"63",NULL,NULL,"4","Bangar"
"64",NULL,NULL,"4","Bauang"
"65",NULL,NULL,"4","Burgos"
"66",NULL,NULL,"4","Caba"
"67",NULL,NULL,"4","Luna"
"68",NULL,NULL,"4","Naguilian"
"69",NULL,NULL,"4","Pugo"
"70",NULL,NULL,"4","Rosario"
"71",NULL,NULL,"4","City of San Fernando (Capital)"
"72",NULL,NULL,"4","San Gabriel"
"73",NULL,NULL,"4","San Juan"
"74",NULL,NULL,"4","Santo Tomas"
"75",NULL,NULL,"4","Santol"
"76",NULL,NULL,"4","Sudipen"
"77",NULL,NULL,"4","Tubao"
"78",NULL,NULL,"5","Agno"
"79",NULL,NULL,"5","Aguilar"
"80",NULL,NULL,"5","City of Alaminos"
"81",NULL,NULL,"5","Alcala"
"82",NULL,NULL,"5","Anda"
"83",NULL,NULL,"5","Asingan"
"84",NULL,NULL,"5","Balungao"
"85",NULL,NULL,"5","Bani"
"86",NULL,NULL,"5","Basista"
"87",NULL,NULL,"5","Bautista"
"88",NULL,NULL,"5","Bayambang"
"89",NULL,NULL,"5","Binalonan"
"90",NULL,NULL,"5","Binmaley"
"91",NULL,NULL,"5","Bolinao"
"92",NULL,NULL,"5","Bugallon"
"93",NULL,NULL,"5","Burgos"
"94",NULL,NULL,"5","Calasiao"
"95",NULL,NULL,"5","City of Dagupan"
"96",NULL,NULL,"5","Dasol"
"97",NULL,NULL,"5","Infanta"
"98",NULL,NULL,"5","Labrador"
"99",NULL,NULL,"5","Lingayen (Capital)"
"100",NULL,NULL,"5","Mabini"
"101",NULL,NULL,"5","Malasiqui"
"102",NULL,NULL,"5","Manaoag"
"103",NULL,NULL,"5","Mangaldan"
"104",NULL,NULL,"5","Mangatarem"
"105",NULL,NULL,"5","Mapandan"
"106",NULL,NULL,"5","Natividad"
"107",NULL,NULL,"5","Pozorrubio"
"108",NULL,NULL,"5","Rosales"
"109",NULL,NULL,"5","City of San Carlos"
"110",NULL,NULL,"5","San Fabian"
"111",NULL,NULL,"5","San Jacinto"
"112",NULL,NULL,"5","San Manuel"
"113",NULL,NULL,"5","San Nicolas"
"114",NULL,NULL,"5","San Quintin"
"115",NULL,NULL,"5","Santa Barbara"
"116",NULL,NULL,"5","Santa Maria"
"117",NULL,NULL,"5","Santo Tomas"
"118",NULL,NULL,"5","Sison"
"119",NULL,NULL,"5","Sual"
"120",NULL,NULL,"5","Tayug"
"121",NULL,NULL,"5","Umingan"
"122",NULL,NULL,"5","Urbiztondo"
"123",NULL,NULL,"5","City of Urdaneta"
"124",NULL,NULL,"5","Villasis"
"125",NULL,NULL,"5","Laoac"
"126",NULL,NULL,"6","Basco (Capital)"
"127",NULL,NULL,"6","Itbayat"
"128",NULL,NULL,"6","Ivana"
"129",NULL,NULL,"6","Mahatao"
"130",NULL,NULL,"6","Sabtang"
"131",NULL,NULL,"6","Uyugan"
"132",NULL,NULL,"7","Abulug"
"133",NULL,NULL,"7","Alcala"
"134",NULL,NULL,"7","Allacapan"
"135",NULL,NULL,"7","Amulung"
"136",NULL,NULL,"7","Aparri"
"137",NULL,NULL,"7","Baggao"
"138",NULL,NULL,"7","Ballesteros"
"139",NULL,NULL,"7","Buguey"
"140",NULL,NULL,"7","Calayan"
"141",NULL,NULL,"7","Camalaniugan"
"142",NULL,NULL,"7","Claveria"
"143",NULL,NULL,"7","Enrile"
"144",NULL,NULL,"7","Gattaran"
"145",NULL,NULL,"7","Gonzaga"
"146",NULL,NULL,"7","Iguig"
"147",NULL,NULL,"7","Lal-Lo"
"148",NULL,NULL,"7","Lasam"
"149",NULL,NULL,"7","Pamplona"
"150",NULL,NULL,"7","Peñablanca"
"151",NULL,NULL,"7","Piat"
"152",NULL,NULL,"7","Rizal"
"153",NULL,NULL,"7","Sanchez-Mira"
"154",NULL,NULL,"7","Santa Ana"
"155",NULL,NULL,"7","Santa Praxedes"
"156",NULL,NULL,"7","Santa Teresita"
"157",NULL,NULL,"7","Santo Niño"
"158",NULL,NULL,"7","Solana"
"159",NULL,NULL,"7","Tuao"
"160",NULL,NULL,"7","Tuguegarao City (Capital)"
"161",NULL,NULL,"8","Alicia"
"162",NULL,NULL,"8","Angadanan"
"163",NULL,NULL,"8","Aurora"
"164",NULL,NULL,"8","Benito Soliven"
"165",NULL,NULL,"8","Burgos"
"166",NULL,NULL,"8","Cabagan"
"167",NULL,NULL,"8","Cabatuan"
"168",NULL,NULL,"8","City of Cauayan"
"169",NULL,NULL,"8","Cordon"
"170",NULL,NULL,"8","Dinapigue"
"171",NULL,NULL,"8","Divilacan"
"172",NULL,NULL,"8","Echague"
"173",NULL,NULL,"8","Gamu"
"174",NULL,NULL,"8","City of Ilagan (Capital)"
"175",NULL,NULL,"8","Jones"
"176",NULL,NULL,"8","Luna"
"177",NULL,NULL,"8","Maconacon"
"178",NULL,NULL,"8","Delfin Albano"
"179",NULL,NULL,"8","Mallig"
"180",NULL,NULL,"8","Naguilian"
"181",NULL,NULL,"8","Palanan"
"182",NULL,NULL,"8","Quezon"
"183",NULL,NULL,"8","Quirino"
"184",NULL,NULL,"8","Ramon"
"185",NULL,NULL,"8","Reina Mercedes"
"186",NULL,NULL,"8","Roxas"
"187",NULL,NULL,"8","San Agustin"
"188",NULL,NULL,"8","San Guillermo"
"189",NULL,NULL,"8","San Isidro"
"190",NULL,NULL,"8","San Manuel"
"191",NULL,NULL,"8","San Mariano"
"192",NULL,NULL,"8","San Mateo"
"193",NULL,NULL,"8","San Pablo"
"194",NULL,NULL,"8","Santa Maria"
"195",NULL,NULL,"8","City of Santiago"
"196",NULL,NULL,"8","Santo Tomas"
"197",NULL,NULL,"8","Tumauini"
"198",NULL,NULL,"9","Ambaguio"
"199",NULL,NULL,"9","Aritao"
"200",NULL,NULL,"9","Bagabag"
"201",NULL,NULL,"9","Bambang"
"202",NULL,NULL,"9","Bayombong (Capital)"
"203",NULL,NULL,"9","Diadi"
"204",NULL,NULL,"9","Dupax del Norte"
"205",NULL,NULL,"9","Dupax del Sur"
"206",NULL,NULL,"9","Kasibu"
"207",NULL,NULL,"9","Kayapa"
"208",NULL,NULL,"9","Quezon"
"209",NULL,NULL,"9","Santa Fe"
"210",NULL,NULL,"9","Solano"
"211",NULL,NULL,"9","Villaverde"
"212",NULL,NULL,"9","Alfonso Castaneda"
"213",NULL,NULL,"10","Aglipay"
"214",NULL,NULL,"10","Cabarroguis (Capital)"
"215",NULL,NULL,"10","Diffun"
"216",NULL,NULL,"10","Maddela"
"217",NULL,NULL,"10","Saguday"
"218",NULL,NULL,"10","Nagtipunan"
"219",NULL,NULL,"11","Abucay"
"220",NULL,NULL,"11","Bagac"
"221",NULL,NULL,"11","City of Balanga (Capital)"
"222",NULL,NULL,"11","Dinalupihan"
"223",NULL,NULL,"11","Hermosa"
"224",NULL,NULL,"11","Limay"
"225",NULL,NULL,"11","Mariveles"
"226",NULL,NULL,"11","Morong"
"227",NULL,NULL,"11","Orani"
"228",NULL,NULL,"11","Orion"
"229",NULL,NULL,"11","Pilar"
"230",NULL,NULL,"11","Samal"
"231",NULL,NULL,"12","Angat"
"232",NULL,NULL,"12","Balagtas"
"233",NULL,NULL,"12","Baliuag"
"234",NULL,NULL,"12","Bocaue"
"235",NULL,NULL,"12","Bulacan"
"236",NULL,NULL,"12","Bustos"
"237",NULL,NULL,"12","Calumpit"
"238",NULL,NULL,"12","Guiguinto"
"239",NULL,NULL,"12","Hagonoy"
"240",NULL,NULL,"12","City of Malolos (Capital)"
"241",NULL,NULL,"12","Marilao"
"242",NULL,NULL,"12","City of Meycauayan"
"243",NULL,NULL,"12","Norzagaray"
"244",NULL,NULL,"12","Obando"
"245",NULL,NULL,"12","Pandi"
"246",NULL,NULL,"12","Paombong"
"247",NULL,NULL,"12","Plaridel"
"248",NULL,NULL,"12","Pulilan"
"249",NULL,NULL,"12","San Ildefonso"
"250",NULL,NULL,"12","City of San Jose Del Monte"
"251",NULL,NULL,"12","San Miguel"
"252",NULL,NULL,"12","San Rafael"
"253",NULL,NULL,"12","Santa Maria"
"254",NULL,NULL,"12","Doña Remedios Trinidad"
"255",NULL,NULL,"13","Aliaga"
"256",NULL,NULL,"13","Bongabon"
"257",NULL,NULL,"13","City of Cabanatuan"
"258",NULL,NULL,"13","Cabiao"
"259",NULL,NULL,"13","Carranglan"
"260",NULL,NULL,"13","Cuyapo"
"261",NULL,NULL,"13","Gabaldon"
"262",NULL,NULL,"13","City of Gapan"
"263",NULL,NULL,"13","General Mamerto Natividad"
"264",NULL,NULL,"13","General Tinio"
"265",NULL,NULL,"13","Guimba"
"266",NULL,NULL,"13","Jaen"
"267",NULL,NULL,"13","Laur"
"268",NULL,NULL,"13","Licab"
"269",NULL,NULL,"13","Llanera"
"270",NULL,NULL,"13","Lupao"
"271",NULL,NULL,"13","Science City of Muñoz"
"272",NULL,NULL,"13","Nampicuan"
"273",NULL,NULL,"13","City of Palayan (Capital)"
"274",NULL,NULL,"13","Pantabangan"
"275",NULL,NULL,"13","Peñaranda"
"276",NULL,NULL,"13","Quezon"
"277",NULL,NULL,"13","Rizal"
"278",NULL,NULL,"13","San Antonio"
"279",NULL,NULL,"13","San Isidro"
"280",NULL,NULL,"13","San Jose City"
"281",NULL,NULL,"13","San Leonardo"
